conv_id,msg_idx,latency_ms
conv_05,49,0.118708
conv_05,50,0.098584
conv_05,51,0.104666
conv_05,52,0.123750
conv_05,53,0.098708
conv_05,54,0.215250
conv_05,55,0.111833
conv_05,56,0.133250
conv_05,57,0.141750
conv_05,58,0.140625
conv_05,59,0.140458
conv_05,60,0.138125
conv_05,61,0.237125
conv_05,62,0.170500
conv_05,63,0.138792
conv_05,64,0.151000
conv_05,65,0.136000
conv_05,66,0.151625
conv_05,67,0.164000
conv_05,68,0.257875
conv_05,69,0.167333
conv_05,70,0.161333
conv_05,71,0.177916
conv_05,72,0.158667
conv_05,73,0.146750
conv_05,74,0.330000
conv_05,75,0.161792
conv_05,76,0.177250
conv_05,77,0.174792
conv_05,78,0.169625
conv_05,79,0.162333
conv_05,80,0.286708
conv_05,81,0.161958
conv_05,82,0.173375
conv_05,83,0.155417
conv_05,84,0.162208
conv_05,85,0.174875
conv_05,86,0.163292
conv_05,87,0.269541
conv_05,88,0.187541
conv_05,89,0.168750
conv_05,90,0.168667
conv_05,91,0.172375
conv_05,92,0.172375
conv_05,93,0.173625
conv_05,94,0.246000
conv_05,95,0.166000
conv_05,96,0.164125
conv_05,97,0.183708
conv_05,98,0.171167
conv_05,99,0.163250
conv_05,100,0.170791
conv_05,101,0.182875
conv_05,102,0.260500
conv_05,103,0.180084
conv_05,104,0.173417
conv_05,105,0.171125
conv_05,106,0.190791
conv_05,107,0.184917
conv_05,108,0.195958
conv_05,109,0.264084
conv_05,110,0.215500
conv_05,111,0.209833
conv_05,112,0.199333
conv_05,113,0.210417
conv_05,114,0.193542
conv_05,115,0.209041
conv_05,116,0.282084
conv_05,117,0.222917
conv_05,118,0.215375
conv_05,119,0.244666
conv_06,0,0.060292
conv_06,1,0.014334
conv_06,2,0.010500
conv_06,3,0.009000
conv_06,4,0.014875
conv_06,5,0.012458
conv_06,6,0.017375
conv_06,7,0.017250
conv_06,8,0.027500
conv_06,9,0.034333
conv_06,10,0.030083
conv_06,11,0.018125
conv_06,12,0.004666
conv_06,13,0.027958
conv_06,14,0.031375
conv_06,15,0.041125
conv_06,16,0.020375
conv_06,17,0.031500
conv_06,18,0.007625
conv_06,19,0.029500
conv_06,20,0.015375
conv_06,21,0.009750
conv_06,22,0.035916
conv_06,23,0.030792
conv_06,24,0.013833
conv_06,25,0.383625
conv_06,26,0.044416
conv_06,27,0.046708
conv_06,28,0.025292
conv_06,29,0.055041
conv_06,30,0.055333
conv_06,31,0.046834
conv_06,32,0.041166
conv_06,33,0.059000
conv_06,34,0.058667
conv_06,35,0.031458
conv_06,36,0.108916
conv_06,37,0.087250
conv_06,38,0.294667
conv_06,39,0.127583
conv_06,40,0.080917
conv_06,41,0.091292
conv_06,42,0.099167
conv_06,43,0.125041
conv_06,44,0.238792
conv_06,45,0.108625
conv_06,46,0.103042
conv_06,47,0.102834
conv_06,48,0.097709
conv_06,49,0.110584
conv_06,50,0.197209
conv_06,51,0.128083
conv_06,52,0.119833
conv_06,53,0.135750
conv_06,54,0.130000
conv_06,55,0.124458
conv_06,56,0.224583
conv_06,57,0.129667
conv_06,58,0.122583
conv_06,59,0.152167
conv_06,60,0.125416
conv_06,61,0.221667
conv_06,62,0.123334
conv_06,63,0.140084
conv_06,64,0.153291
conv_06,65,0.156000
conv_06,66,0.139375
conv_06,67,0.231208
conv_06,68,0.153791
conv_06,69,0.152125
conv_06,70,0.144833
conv_06,71,0.146792
conv_06,72,0.137000
conv_06,73,0.298417
conv_06,74,0.150334
conv_06,75,0.156583
conv_06,76,0.170708
conv_06,77,0.157709
conv_06,78,0.173250
conv_06,79,0.185375
conv_06,80,0.175334
conv_06,81,0.358833
conv_06,82,0.192958
conv_06,83,0.172000
conv_06,84,0.165250
conv_06,85,0.178542
conv_06,86,0.195708
conv_06,87,0.177584
conv_06,88,0.266959
conv_06,89,0.159959
conv_06,90,0.166625
conv_06,91,0.163209
conv_06,92,0.161166
conv_06,93,0.172833
conv_06,94,0.174292
conv_06,95,0.247750
conv_06,96,0.176125
conv_06,97,0.160208
conv_06,98,0.176958
conv_06,99,0.180958
conv_06,100,0.173084
conv_06,101,0.170667
conv_06,102,0.286208
conv_06,103,0.194167
conv_06,104,0.175000
conv_06,105,0.200792
conv_06,106,0.191458
conv_06,107,0.170375
conv_06,108,0.174250
conv_06,109,0.164959
conv_06,110,0.192542
conv_06,111,0.193708
conv_06,112,0.195917
conv_06,113,0.176583
conv_06,114,0.173541
conv_06,115,0.192625
conv_06,116,0.190125
conv_06,117,0.187291
conv_06,118,0.312333
conv_06,119,0.183500
conv_07,0,0.073417
conv_07,1,0.009125
conv_07,2,0.064541
conv_07,3,0.064666
conv_07,4,0.688583
conv_07,5,0.014417
conv_07,6,0.050875
conv_07,7,0.060666
conv_07,8,0.105250
conv_07,9,0.050292
conv_07,10,0.045958
conv_07,11,0.012083
conv_07,12,0.041584
conv_07,13,0.042458
conv_07,14,0.037792
conv_07,15,0.039750
conv_07,16,0.039625
conv_07,17,0.015708
conv_07,18,0.031125
conv_07,19,0.015167
conv_07,20,0.024583
conv_07,21,0.040208
conv_07,22,0.019417
conv_07,23,0.011417
conv_07,24,0.032375
conv_07,25,0.045083
conv_07,26,0.014500
conv_07,27,0.048792
conv_07,28,0.050125
conv_07,29,0.032500
conv_07,30,0.062500
conv_07,31,0.277250
conv_07,32,0.054417
conv_07,33,0.068208
conv_07,34,0.073000
conv_07,35,0.084875
conv_07,36,0.130375
conv_07,37,0.117917
conv_07,38,0.131500
conv_07,39,0.150667
conv_07,40,0.335667
conv_07,41,0.152084
conv_07,42,0.161375
conv_07,43,0.141875
conv_07,44,0.166584
conv_07,45,0.154958
conv_07,46,0.184750
conv_07,47,0.370041
conv_07,48,0.199875
conv_07,49,0.201042
conv_07,50,0.189042
conv_07,51,0.197667
conv_07,52,0.181584
conv_07,53,0.206917
conv_07,54,0.173833
conv_07,55,0.304583
conv_07,56,0.180709
conv_07,57,0.184291
conv_07,58,0.225542
conv_07,59,0.194042
conv_07,60,0.226292
conv_07,61,0.176041
conv_07,62,0.165375
conv_07,63,0.264541
conv_07,64,0.170166
conv_07,65,0.175500
conv_07,66,0.188000
conv_07,67,0.179750
conv_07,68,0.170583
conv_07,69,0.197542
conv_07,70,0.206750
conv_07,71,0.199583
conv_07,72,0.301125
conv_07,73,0.205250
conv_07,74,0.187916
conv_07,75,0.180500
conv_07,76,0.230958
conv_07,77,0.226083
conv_07,78,0.195375
conv_07,79,0.193334
conv_07,80,0.297834
conv_07,81,0.198459
conv_07,82,0.190542
conv_07,83,0.252250
conv_07,84,0.219667
conv_07,85,0.241792
conv_07,86,0.222375
conv_07,87,0.224584
conv_07,88,0.232292
conv_07,89,0.206250
conv_07,90,0.375458
conv_07,91,0.213417
conv_07,92,0.217041
conv_07,93,0.195875
conv_07,94,0.207000
conv_07,95,0.198959
conv_07,96,0.219083
conv_07,97,0.200000
conv_07,98,0.346458
conv_07,99,0.226750
conv_07,100,0.215542
conv_07,101,0.202542
conv_07,102,0.214209
conv_07,103,0.200125
conv_07,104,0.226250
conv_07,105,0.225417
conv_07,106,0.222291
conv_07,107,0.338208
conv_07,108,0.261916
conv_07,109,0.259542
conv_07,110,0.255417
conv_07,111,0.250291
conv_07,112,0.268208
conv_07,113,0.264334
conv_07,114,0.254417
conv_07,115,0.383042
conv_07,116,0.267459
conv_07,117,0.261958
conv_07,118,0.248708
conv_07,119,0.267458
conv_08,0,0.067625
conv_08,1,0.007708
conv_08,2,0.017209
conv_08,3,0.013875
conv_08,4,0.030416
conv_08,5,0.010167
conv_08,6,0.012959
conv_08,7,0.024459
conv_08,8,0.010708
conv_08,9,0.017041
