conv_id,msg_idx,latency_ms,is_merge
conv_05,42,1331.9749,true
conv_05,43,1740.0648,true
conv_05,44,1538.0830,true
conv_05,45,1734.3412,true
conv_05,46,1132.5744,true
conv_05,47,1636.9396,true
conv_05,48,2640.9624,true
conv_05,49,1557.2071,true
conv_05,50,1865.5021,true
conv_05,51,1937.6611,true
conv_05,52,2046.7788,true
conv_05,53,1933.0345,true
conv_05,54,2867.5345,true
conv_05,55,2474.9237,true
conv_05,56,2545.1164,true
conv_05,57,1944.0829,true
conv_05,58,1971.2894,true
conv_05,59,1955.1555,true
conv_05,60,2216.5870,true
conv_05,61,2118.1217,true
conv_05,62,13251.3257,true
conv_05,63,2742.4051,true
conv_05,64,2674.3377,true
conv_05,65,2457.7529,true
conv_05,66,2925.0786,true
conv_05,67,3645.0429,true
conv_05,68,2159.3210,true
conv_05,69,2395.1118,true
conv_05,70,2420.6791,true
conv_05,71,2275.9625,true
conv_05,72,1121.6859,true
conv_05,73,2827.6544,true
conv_05,74,1903.3347,true
conv_05,75,1569.0969,true
conv_05,76,2715.7829,true
conv_05,77,2113.8163,true
conv_05,78,1421.5501,true
conv_05,79,2061.4495,true
conv_05,80,1295.9395,true
conv_05,81,1958.8091,true
conv_05,82,2274.2312,true
conv_05,83,1235.6701,true
conv_05,84,3072.0030,true
conv_05,85,2334.6766,true
conv_05,86,2049.7223,true
conv_05,87,2147.8074,true
conv_05,88,2253.2399,true
conv_05,89,2253.5613,true
conv_05,90,2899.4945,true
conv_05,91,1708.4537,true
conv_05,92,2046.9930,true
conv_05,93,2295.0692,true
conv_05,94,2501.9944,true
conv_05,95,3702.3983,true
conv_05,96,4402.7938,true
conv_05,97,2823.3132,true
conv_05,98,2518.0673,true
conv_05,99,3159.8975,true
conv_05,100,3480.0310,true
conv_05,101,2628.7047,true
conv_05,102,3106.9696,true
conv_05,103,2431.4389,true
conv_05,104,3097.5998,true
conv_05,105,2355.0420,true
conv_05,106,2244.3041,true
conv_05,107,2364.1934,true
conv_05,108,2136.2533,true
conv_05,109,1959.6878,true
